Group,Subgroup,Subassembly,Group ID,MTBF [d],Life Limit [d],# in Primary System
ECLSS,OGA,Hydrogen Sensor,1,2576.9,91.25,1
,,Inlet Deionizing Bed,1,12362.55,2190,1
,,Nitrogen Purge ORU,1,5767,,1
,,Oxygen Outlet,1,4088,3650,1
,,Power Supply Module,1,1978.3,1522.05,1
,,Process Controller,1,4303.35,2817.8,1
,,Pump,1,6022.5,365,1
,CDRA,Air Pump Two-Stage ORU,2,6508.333333,5580.85,1
,,Blower,2,5404.166667,3650,1
,,Check Valves,2,1370.833333,,1
,,Dessicant Beds,2,3212.5,,2
,,Heat Controller,2,10112.5,,2
,,Precooler,2,5404.166667,3650,1
,,Pump Fan Motor Controller,2,94583.33333,,2
,,Selector Valves,2,4875,3872.65,6
,,Sorbent Beds (Zeolite),2,3212.5,832.2,2
,ORA,Air Pump Two-Stage ORU,3,6508.333333,5580.85,1
,,Blower,3,5404.166667,3650,1
,,Check Valves,3,1370.833333,,1
,,Dessicant Beds,3,3212.5,,2
,,Heat Controller,3,10112.5,,2
,,Precooler,3,5404.166667,3650,1
,,Pump Fan Motor Controller,3,94583.33333,,2
,,Selector Valves,3,4875,3872.65,6
,,Sorbent Beds (Zeolite),3,3212.5,832.2,2
,CCAA x4,Condensing Heat Exchanger,4,34691.66667,,1
,,Electronic Interface Box (EIB),4,97916.66667,,2
,,Fan Delta Pressure Sensor,4,52083.33333,,1
,,Heat Exchanger Liquid Sensor,4,47500,,2
,,Inlet ORU,4,13875,,1
,,Pressure Transducer,4,52083.33333,5475,1
,,Temperature Control Check Valve (TCCV),4,1370.833333,,2
,,Temperature Sensor,4,1566666.667,,4
,,Water Separator,4,5458.333333,1825,2
,,Water Separator Liquid Sensor,4,47500,,2
,UPA,Distillation Assembly,5,5938.55,730,1
,,Firmware Controller Assembly,5,1138.8,876,1
,,Fluids Control and Pump Assembly,5,3755.85,1460,1
,,Pressure Control and Pump Assembly,5,7562.8,730,1
,,Recycle Filter Tank Assembly,5,8318.35,29.2,1
,,Separator Plumbing Assembly,5,16027.15,365,1
,WPA,Catalytic Reactor,6,1065.8,821.25,1
,,Gas Separator,6,3500.35,365,1
,,Ion Exchange Bed,6,12362.55,58.4,1
,,Microbial Check Valve,6,5978.7,365,1
,,Multifiltration Bed #1,6,12362.55,131.4,1
,,Multifiltration Bed #2,6,12362.55,131.4,1
,,Particulate Filter,6,29889.85,80.3,1
,,pH Adjuster,6,5715.9,365,1
,,Process Controller,6,3664.6,2817.8,1
,,Pump Separator,6,1766.6,730,1
,,Reactor Health Sensor,6,2361.55,365,1
,,Sensor,6,5986,3650,1
,,Separator Filter,6,14961.35,306.6,1
,,Start-up Filter,6,9453.5,7270.8,1
,,Water Delivery,6,2690.05,1825,1
,CRA,Sabatier Methanation Reactor,7,2083.333333,,1
,,Condensing Heat Exchanger,7,34691.66667,,1
,,Phase Separator,7,5458.333333,1825,1
,,Valves,7,4875,3872.65,7
,,Sensors,7,5986,3650,1
,,Controller,7,4303.35,2817.8,1
,,Compressor,7,2777.779167,,1
,CO2 Injector,Air Pump Two-Stage ORU,8,6508.333333,5580.85,1
,,Blower,8,5404.166667,3650,1
,,Check Valves,8,1370.833333,,1
,,Dessicant Beds,8,3212.5,,2
,,Heat Controller,8,10112.5,,2
,,Precooler,8,5404.166667,3650,1
,,Pump Fan Motor Controller,8,94583.33333,,2
,,Selector Valves,8,4875,3872.65,6
,,Sorbent Beds (Zeolite),8,3212.5,832.2,2
,,Compressor 1 (Mars to 1atm),8,2777.779167,,1
,GLS,LED Growth Light ORU,9,36326.65,,875
ISRU (Crew System),AP,Zeolite and Support Structure,10,3212.5,,1
,,Compressor,10,2777.779167,,2
,,Cryocooler,10,20833.33333,,4
,SP,Mixing Auger,11,20833.33333,,1
,,Feed Cone,11,20833.33333,,1
,,Horizontal Feed Auger,11,20833.33333,,1
,,Condensing Heat Exchanger,11,34691.66667,,1
,,Oven Heater,11,10112.5,,1
ISRU (Pre Deploy),AP,Zeolite and Support Structure,12,3212.5,,1
,,Compressor,12,2777.779167,,2
,,Cryocooler,12,20833.33333,,4
,SP,Mixing Auger,13,20833.33333,,1
,,Feed Cone,13,20833.33333,,1
,,Horizontal Feed Auger,13,20833.33333,,1
,,Condensing Heat Exchanger,13,34691.66667,,1
,,Oven Heater,13,10112.5,,1
