Group,Subgroup,Subassembly,Mass [kg],Volume [m^3],MTBF [h],Number in Primary System
ECLSS,OGA,Hydrogen Sensor,4.355,0.0034,61845.6,1
,,Inlet Deionizing Bed,28.668,0.02945,296701.2,1
,,Nitrogen Purge ORU,34.247,,138408,1
,,Oxygen Outlet,48.172,0.03115,98112,1
,,Power Supply Module,42.638,0.06485,47479.2,1
,,Process Controller,47.084,0.08383,103280.4,1
,,Pump,17.963,0.01015,144540,1
,CDRA & ORA,Air Pump Two-Stage ORU,10.886,0.00453,156200,1
,,Blower,5.58,0.03,129700,1
,,Check Valves,39.916,0.17842,32900,1
,,Dessicant Beds,42.638,0.08496,77100,2
,,Heat Controller,3.311,0.0085,242700,2
,,Precooler,5.579,0.02549,129700,1
,,Pump Fan Motor Controller,2.722,0.00566,2270000,2
,,Selector Valves,3.039,0.0017,117000,6
,,Sorbent Beds (Zeolite),42.638,0.08496,77100,2
,CCAA (x4),Condensing Heat Exchanger,49.71,0.39329,832600,1
,,Electronic Interface Box (EIB),4.037,0.01728,2350000,2
,,Fan Delta Pressure Sensor,0.454,0.00016,1250000,1
,,Heat Exchanger Liquid Sensor,0.635,0.00057,1140000,2
,,Inlet ORU,25.31,0.13088,333000,1
,,Pressure Transducer,0.476,0,1250000,1
,,Temperature Control Check Valve (TCCV),7.453,0.00708,32900,2
,,Temperature Sensor,0.263,0.00142,37600000,4
,,Water Separator,11.93,0.05829,131000,2
,,Water Separator Liquid Sensor,0.635,0.00057,1140000,2
,UPA,Distillation Assembly,92.761,0.14217,142525.2,1
,,Firmware Controller Assembly,23.088,0.0286,27331.2,1
,,Fluids Control and Pump Assembly,47.583,0.07307,90140.4,1
,,Pressure Control and Pump Assembly,49.08,0.11583,181507.2,1
,,Recycle Filter Tank Assembly,15.377,0.1011,199640.4,1
,,Separator Plumbing Assembly,16.783,0.02294,384651.6,1
,WPA,Catalytic Reactor,67.042,0.11555,25579.2,1
,,Gas Separator,39.146,0.06599,84008.4,1
,,Ion Exchange Bed,13.018,0.01728,296701.2,1
,,Microbial Check Valve,5.761,0.00651,143488.8,1
,,Multifiltration Bed #1,149.234,0.0657,296701.2,1
,,Multifiltration Bed #2,149.234,0.0657,296701.2,1
,,Particulate Filter,32.251,0.07165,717356.4,1
,,pH Adjuster,2.54,0.00255,137181.6,1
,,Process Controller,44.997,0.08383,87950.4,1
,,Pump Separator,31.344,0.08694,42398.4,1
,,Reactor Health Sensor,16.829,0.04248,56677.2,1
,,Sensor,4.808,0.0034,143664,1
,,Separator Filter,7.666,0.0102,359072.4,1
,,Start-up Filter,9.435,0.01841,226884,1
,,Water Delivery,47.537,0.09742,64561.2,1
,CRA,Sabatier Methanation Reactor,120,0.208,50000,1
,,Condensing Heat Exchanger,49.71,0.39329,832600,1
,,Phase Separator,11.93,0.05829,131000,1
,,Valves,3.039,0.0017,117000,7
,,Sensors,4.808,0.0034,143664,1
,,Controller,3,,103280.4,1
,,Compressor (? 1atm --> 120psi),27,,66666.7,1
ISRU (Crew System),AP,Zeolite and Support Structure,21.495,0.0345,77100,1
,,Compressor 1 (Mars to 1atm),43.41,0.251,66666.7,2
,,Cryocooler,6.2,0.003,500000,4
,SP,Mixing Auger,1.549,0,500000,1
,,Feed Cone,3.244,0.0425,500000,1
,,Horizontal Feed Auger,0.804,0.0027,500000,1
,,Condensing Heat Exchanger,49.71,,832600,1
,,Oven Heater,7.71,0.0085,242700,1
ISRU (Pre-Deploy),AP,Zeolite and Support Structure,40.7072,0.0653,77100,1
,,Compressor 1 (Mars to 1atm),82.2088,0.4754,66666.7,2
,,Cryocooler,6.2,0.003,500000,4
,SP,Mixing Auger,83.9753,0,500000,1
,,Feed Cone,46.463,0.1856,500000,1
,,Horizontal Feed Auger,0.8036,0.0027,500000,1
,,Condensing Heat Exchanger,49.71,0.39329,832600,1
,,Oven Heater,7.71,0.0085,242700,1
,GLS,LED Growth Light ORU,13,0.0359,871839.6,875
